title,year,director,runtime,cast
Barbarella,1968,Roger Vadim,98,"['Jane Fonda', 'John Phillip Law', 'Anita Pallenberg', 'Marcel Marceau', 'Claude Dauphin', 'Milo O’Shea', 'Véronique Vendell', 'Serge Marquand', 'Catherine Chevallier', 'Marie Therese Chevallier', 'David Hemmings', 'Ugo Tognazzi', 'Giancarlo Cobelli', 'Fabienne Fabre', 'Corinne Fontaine', 'Nino Musco', 'Umberto Di Grazia', 'Franco Gulà', 'Jean Saudray', 'Romolo Valli', 'Robert Rietti', 'Kitty Swan', 'Fabio Testi', 'Talitha Pol', 'Antonio Sabàto', 'Honey Autumn', 'Diane Bond', 'Silvana Venturelli', 'Carla Cassola', 'Joan Greenwood', 'María Teresa Orsini', 'Chantal Cachin']"
Hustlers,2019,Lorene Scafaria,110,"['Constance Wu', 'Jennifer Lopez', 'Julia Stiles', 'Keke Palmer', 'Lili Reinhart', 'Mercedes Ruehl', 'Cardi B', 'Lizzo', 'Mette Towley', 'Madeline Brewer', 'Trace Lysette', 'Wai Ching Ho', 'Emma Batiz', 'Vanessa Aspillaga', 'Jay Oakerson', 'Marcy Richardson', 'G-Eazy', 'Konstantine Drakopoulos', 'Dov Davidoff', 'Brandon Keener', 'Devin Ratray', 'Usher', 'Cate Smit', 'Kristina Asriyan', 'Alisa Ermolaev', 'Frank Whaley', 'Jacqueline Frances', 'Alex Breaux', 'Pamela Stewart', 'Jon Glaser', 'Grant MacDermott', 'Rhys Coiro', 'Mike Keller', 'Gianmarco  Soresi', 'Zac Jaffee', 'Ed Herbstman', 'Ashley Neal', 'Georgia X. Lifsher', 'Hannah Weir', 'Stormi Maya', 'Scarlett Sher', 'Randi Kaplan', 'Kersti Bryan', 'Steven Boyer', 'Mario Polit', 'Paul Nielsen', ""Peter O'Connor"", 'Agatha Christine Celleri', 'John Palladino', 'John Forte', 'Zachery Byrd', 'Momo Judy Ave', 'Tia Barr', 'Doris McCarthy', 'Ken Holmes', 'David Wenzel', ""Jack O'Connell"", 'Leonys Delossantos']"
Kong: Skull Island,2017,Jordan Vogt-Roberts,118,"['Tom Hiddleston', 'Samuel L. Jackson', 'John Goodman', 'Brie Larson', 'Jing Tian', 'Toby Kebbell', 'John Ortiz', 'Corey Hawkins', 'Jason Mitchell', 'Shea Whigham', 'Thomas Mann', 'Terry Notary', 'John C. Reilly', 'Marc Evan Jackson', 'Eugene Cordero', 'MIYAVI', 'Will Brittain', 'Richard Jenkins', 'Allyn Rachel', 'Robert Taylor', 'James M. Connor', 'Thomas Middleditch', 'Brady Novak', 'Peter Karinen', 'Brian Sacca', 'Joshua Funk', 'Daniel F. Malone', 'Glenn Kiwi Hall', 'Garreth Hadfield', 'Shannon Brimelow', 'Jon Quested', 'Korey Williams', 'Dat Phan', 'Cynthy Wu', 'Beth Kennedy', 'Bryan Chojnowski', 'Nick Robinson', 'Kevin Kent', 'Erin Moriarty']"
Time Bandits,1981,Terry Gilliam,116,"['Craig Warnock', 'David Rappaport', 'Kenny Baker', 'Mike Edmonds', 'Malcolm Dixon', 'Tiny Ross', 'Jack Purvis', 'Ian Holm', 'John Cleese', 'Sean Connery', 'Michael Palin', 'Shelley Duvall', 'Peter Vaughan', 'Katherine Helmond', 'David Warner', 'Ralph Richardson', 'Tony Jay', 'David Daker', 'Sheila Fearn', 'Jim Broadbent', 'Peter Jonfield', 'Jerold Wells', 'Myrtle Devenish', 'Winston Dennis', 'Roger Frost', 'Andrew MacLachlan', 'Marcus Powell', 'Terence Bayler', 'Preston Lockwood', 'David Leland', 'Leon Lissek', 'John Young', ""Derrick O'Connor"", 'Neil McCarthy', 'Declan Mulholland', 'Derek Deadman', 'Charles McKeown', 'Mark Holmes', 'Martin Carroll']"
Best in Show,2000,Christopher Guest,90,"['Bob Balaban', 'Jennifer Coolidge', 'Christopher Guest', 'John Michael Higgins', 'Michael Hitchcock', 'Eugene Levy', 'Jane Lynch', 'Michael McKean', ""Catherine O'Hara"", 'Parker Posey', 'Fred Willard', 'Ed Begley Jr.', 'Patrick Cranshaw', 'Linda Kash', 'Don Lake', 'Larry Miller', 'Jim Piddock', 'Jay Brazeau', 'Lewis Arquette', 'Dany Canino', 'Will Sasso', 'Stephen E. Miller', 'Colin Cunningham', 'Jehshua Barnes', 'Scott Williamson', 'Deborah Theaker', 'Rachael Harris', 'Fulvio Cecere', 'Cody Greg', 'Teryl Rothery', 'Tony Alcantar', 'Camille Sullivan', 'Dave Cameron', 'Lynda Boyd', 'Madeleine Kipling', 'Merrilyn Gann', 'Andrew Johnston', 'Malcolm Stewart', 'Jay-Lyn Green', 'Earlene Luke', 'Carmen Aguirre', 'Harold Pybus', 'Hiro Kanagawa', 'Cleo A. Laxton', 'Corrine Koslo', 'Andrew Wheeler', 'Don Emslie', 'Don S. Davis', 'Steven M. Porter', 'Melanie Angel', 'Doane Gregory', 'Carrie Aizley']"
Godzilla: King of the Monsters,2019,Michael Dougherty,132,"['Kyle Chandler', 'Vera Farmiga', 'Millie Bobby Brown', 'Ken Watanabe', 'Zhang Ziyi', 'Bradley Whitford', 'Sally Hawkins', 'Charles Dance', 'Thomas Middleditch', 'Aisha Hinds', ""O'Shea Jackson Jr."", 'David Strathairn', 'Anthony Ramos', 'Elizabeth Faith Ludlow', 'Jonathan Howard', 'CCH Pounder', 'Joe Morton', 'Randy Havens', 'Lyle Brocato', 'Jimmy Gonzales', 'T.C. Matherne', 'Kenneth Israel', 'Justice Leak', 'Al Vicente', 'Rose Bianco', 'Gabriel L. Silva', 'Skylar Denney', 'Kelli Garner', 'Tyler Crumley', 'Lexi Rabe', 'Zac Zedalis', 'Tracie Garrison', 'Natalie Shaheen', ""Jesse O'Neill"", 'Joshua Leary', 'Vince Foster', 'Shauna Rappold', 'Fiona Hardingham', 'Orelon Sidney', 'Paul Ryden', 'Laurie Dhue', 'Kevin Shinick', 'T.J. Storm', 'Jason Liles', 'Alan Maxson', 'Richard Dorton', 'Seth Green', 'Eli Roth', 'James William Ballard', 'Joey Beni', 'Gerardo Bosco', 'Madeline Brumby', 'John David Bulla', 'Hans Bush', 'Marko Caka', 'Andrea Antonio Canal', 'Timothy Carr', 'Greg Clarkson', 'Michael Dougherty', 'Robin Dyke', 'Fred Galle', 'Christopher Bryan Gomez', 'Clare Grant', 'Anthony B. Harris', 'Kasia Hart', 'Cecil M. Henry', 'Maxwell Highsmith', 'Mallory Hoff', 'Brian Kayode-Patrick Johnson', 'Andrea Maiuro', 'Van Marten', 'Shaun McLane', 'Shaun McMillan', 'Roger K. Moore', 'Tony Morgan', 'Stephen Moyer', 'Leiloni Arrie Pharms', 'Sasha Rionda', 'Diana Rombola', 'Andres Salgado', 'Zach Shields', 'Beverley Simmons', 'Max Soliz', 'Thomas W. Stewart', 'Joey Thurmond', 'Robert Tinsley', 'Miguel Angel Varela Fimbres', 'Buddy Watkins', 'Benjamin Weaver', 'Jamie Wedel', 'Michael David Yuhl']"
Dune,1984,David Lynch,137,"['Kyle MacLachlan', 'Francesca Annis', 'Patrick Stewart', 'Linda Hunt', 'José Ferrer', 'Leonardo Cimino', 'Freddie Jones', 'Brad Dourif', 'Richard Jordan', 'Virginia Madsen', 'Silvana Mangano', 'Everett McGill', 'Sting', 'Kenneth McMillan', 'Jack Nance', 'Siân Phillips', 'Jürgen Prochnow', 'Paul L. Smith', 'Dean Stockwell', 'Max von Sydow', 'Alicia Witt', 'Sean Young', 'Danny Corkill', 'Honorato Magaloni', 'Judd Omen', 'Molly Wryn', 'Angélica Aragón', 'Thomas Ebert', 'Humberto Elizondo', 'Ricardo Hill', 'Ernesto Laguardia', 'David Lynch', 'Ramón Menéndez', 'Ana Ofelia Murguía', 'Claudia Ramírez', 'Julieta Rosen', 'John Sabol', 'Margarita Sanz', 'Jacqueline Voltaire']"
Barry Lyndon,1975,Stanley Kubrick,185,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger', 'Diana Körner', 'Gay Hamilton', 'Frank Middlemass', ""Arthur O'Sullivan"", 'Godfrey Quigley', 'Leonard Rossiter', 'Philip Stone', 'Steven Berkoff', 'Marie Kean', 'Murray Melvin', 'André Morell', 'Leon Vitali', 'Billy Boyle', 'John Bindon', 'Roger Booth', 'Jonathan Cecil', 'Peter Cellier', 'Geoffrey Chater', 'Anthony Dawes', 'Patrick Dawson', 'Bernard Hepton', 'Anthony Herrick', 'Barry Jackson', 'Wolf Kahler', 'Pat Laffan', 'Hans Meyer', 'Ferdy Mayne', 'David Morley', 'Liam Redmond', 'Pat Roach', 'Dominic Savage', 'Frederick Schiller', 'George Sewell', 'Anthony Sharp', 'John Sharp', 'Roy Spencer', 'John Sullivan', 'Harry Towb', 'Michael Hordern']"
Sunday in the Park with George,1986,Terry Hughes,146,"['Mandy Patinkin', 'Bernadette Peters', 'Charles Kimbrough', 'Barbara Bryne', 'Dana Ivey', ""Mary D'Arcy"", 'Sue Anne Gershenson', 'Cris Groenendaal', 'John Jellison', 'Frank Kopyc', 'Judith Moore', 'Nancy Opel', 'William Parry', 'Natalie Polizzi', 'Michele Rigan', 'Brent Spiner', 'Melanie Vaughan', 'Robert Westenberg']"
A Beautiful Day in the Neighborhood,2019,Marielle Heller,109,"['Matthew Rhys', 'Tom Hanks', 'Chris Cooper', 'Susan Kelechi Watson', 'Maryann Plunkett', 'Enrico Colantoni', 'Wendy Makkena', 'Tammy Blanchard', 'Noah Harpster', 'Carmen Cusack', 'Kelley Davis', 'Christine Lahti', 'Maddie Corman', 'Daniel Krell', 'Jon L Peacock', 'Gretchen Koerner', 'Gavin Borders', 'Mark August', 'Tressa Glover', 'Jessica Hecht', 'Di Zhu', 'Diane Monroe', 'Maxine Roach', 'Lesa Terry', 'Tahirah Whittington', 'Nigel Swinson', 'Kayla Fan', 'Alexander Ment', 'Madeline Ment', 'Olivia Irene Ruiz', 'Kiesse Yengo-Passy', 'Marcel Kottmann', 'John Castagliola', 'Preston Lopez', 'Reginald Bannerman', 'Spencer Lott', 'Haley Jenkins', 'Marc Petrosino', 'Kathleen Kim', 'Kathleen Antonia', 'Saira Awan', 'Krizia Bajos', 'Tom Bonello', 'Gregory Bromfield', 'Francesca Calo', 'Kitty Crystal', 'Amy Lyn Elliott', 'Joe Fishel', 'Nate Heller', 'Bill Isler', 'Kevin L. Johnson', 'Rosie Koster', 'Michael Masini', 'Kirsten McCain', 'Patrick McDade', 'David Newell', 'Trevor Stevie Ray Ontiveros', 'Keith Otto', 'Khary Payton', 'Alex Perez', 'Katrina E. Perkins', 'Jivan Xander Ramesh', 'Scott Rapp', 'Fred Rogers', 'Joanne Rogers', 'Edlyn Sabrina', 'Erika Shrout', 'Laura Faye Smith', 'Rebecca Watson', 'Stephen West-Rogers', 'Ted Williams']"
Whiplash,2014,Damien Chazelle,107,"['Miles Teller', 'J.K. Simmons', 'Paul Reiser', 'Melissa Benoist', 'Austin Stowell', 'Chris Mulkey', 'Nate Lang', 'Charlie Ian', 'Jayson Blair', 'Kavita Patil', 'Damon Gupton', 'Suanne Spoke', 'Max Kasch', 'Kofi Siriboe', 'C.J. Vana', 'Tarik Lowe', 'Tyler Kimball', 'Rogelio Douglas Jr.', 'Adrian Burks', 'Joseph Bruno', 'Michael D. Cohen', 'Jocelyn Ayanna', 'Keenan Henson', 'Janet Hoskins', 'April Grace', ""Clifton 'Fou Fou' Eddie"", 'Calvin C. Winbush', 'Marcus Henderson', 'Tony Baker', 'Henry G. Sanders', 'Sam Campisi', 'Jimmie Kirkpatrick', 'Keenan Allen', 'Ayinde Vaughan', 'Shai Golan', 'Yancey Wells', 'Candace Roberge', 'Krista Kilber', 'Stephen Hsu', 'Herman Johansen', 'Wendee Lee', 'Joseph Oliveira', 'Michelle Ruff', 'Daniel Weidlein']"
Spider-Man: Far from Home,2019,Jon Watts,129,"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei', 'Jon Favreau', 'Zendaya', 'Jacob Batalon', 'Tony Revolori', 'Angourie Rice', 'Remy Hii', 'Martin Starr', 'J.B. Smoove', 'Jorge Lendeborg Jr.', 'Cobie Smulders', 'Numan Acar', 'Zach Barack', 'Zoha Rahman', 'Yasmin Mwanza', 'Joshua Sinclair-Evans', 'Tyler Luke Cunningham', 'Sebastián Viveros', 'Toni Garrn', 'Peter Billingsley', 'Clare Dunne', 'Nicholas Gleaves', 'Claire Rushbrook', 'J.K. Simmons', 'Dawn Michelle King', 'Jeroen van Koningsbrugge', 'Michael de Roos', 'Jan-Paul Buijs', 'Sergio Pierattini', 'Anjana Vasan', 'Brian Law', 'Evelyn Mok', 'Tatiana Lunardon', 'Giada Benedetti', 'Lukáš Bech', 'Alessandro Giuggioli', 'Petr Opava', 'Giuseppe Andriolo', 'Pat Kiernan', 'Shari Abdul', 'Mari Alexandrova', 'Kristen Alminta', 'Vincent Angel', 'Peter Arpesella', 'Lasco Atkins', 'Sitara Attaie', 'Peter Bankolé', 'Blair Barnette', 'Tuwaine Barrett', 'Anna Benamati', 'Avondre E.D. Beverley', 'Bruno Bilotta', 'Sharon Blynn', 'Luigi Boccanfuso', 'Paolo Braghetto', 'Dante Brattelli', 'Jeff Bridges', 'Graham Burton', 'Ken Byrd', 'Sokol Cahani', 'Gianni Calchetti', 'Darren Lee Campbell', 'Hélène Cardona', 'Dian Cathal', 'Jake Cerny', 'Daphne Cheung', 'Sam Chuck', 'Al Clark', 'Victoria Coburn', 'Kimberly Collison', 'Tiziana Coste', 'Jaylen Davis', 'Kristianne-Kaith Domingo', 'Andrew Dunkelberger', 'Charlie Esquér', 'Ria Fend', 'Ferroz Fernandez', 'Vincent Frattini', 'Massi Furlan', 'Cynthia Garbutt', 'Thomas Goodridge', 'Sonia Goswami', 'Nicholle Hembra', 'Michael Hennessy', 'Meagan Holder', 'Patrick Doran', 'Ruth Horrocks', 'Chris Hyacinthe', 'Michael Iacono', 'Roman Ibragimov', 'Theo Ip', 'Timothy Christian Jansen', 'Keon Kendrick', 'Camille Kinloch', 'Michal Kubal', 'Hannah Kurczeski', 'Géraldine Lamarre', 'Jimena Larraguivel', 'Rich Lawton', 'Kath Leroy', 'Gavin Lee Lewis', 'Patrick Loh', 'Joseph Long', 'Marian Lorencik', 'Ketan Majmudar', 'Tony Mardon', 'Antonín Mašek', 'Eustace Meade', 'Ben Mendelsohn', 'Bradley Wj Miller', 'Melissa Beth Miller', 'Anthony Molinari', 'Julia Mollin', 'Adrian Mozzi', 'Brendan Murphy', 'Amanda Musso', 'Emily Ng', 'Daniel Olson', 'Karen Parks', 'Hiten Patel', 'Clay Pel-is', 'Luigi Petrazzuolo', 'Aleksandrs Petukhovs', 'Annie Pisapia', 'Martin Polak', 'Jivan Xander Ramesh', 'Mike Ray', 'Sofia Renee', 'Daniel Rennis', 'Sawyer Reo', 'Cailan Robinson', 'Emmanuel Rodriguez', 'Ray Rosario', 'Daniel Ryves', 'Maurice Sardison', 'Susanne Schraps', 'Karen-J Sear', 'Ilya Tank Shilov', 'Davina Sitaram', 'Joakim Skarli', 'Paul Slim', 'Richard Stanley', 'Lucas Antoine Starrets', 'Faith Tarby', 'Emily Tebbutt', 'Oskar Ulvestad', 'Lesdy Vanessa', 'Jessica VanOss', 'Joe David Walters', 'Jo Wheatley', 'Dale Wilder', 'Rocco Wu', 'Jan Zalabak', 'Samantha Mishinski', 'Alessandro Sciarra', 'Aristou Meehan', 'Robert Downey Jr.']"
Persona,1966,Ingmar Bergman,83,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook', 'Gunnar Björnstrand', 'Jörgen Lindström']"
Inland Empire,2006,David Lynch,180,"['Laura Dern', 'Jeremy Irons', 'Justin Theroux', 'Harry Dean Stanton', 'Karolina Gruszka', 'Peter J. Lucas', 'Krzysztof Majchrzak', 'Jan Hencz', 'Grace Zabriskie', 'William H. Macy', 'Ian Abercrombie', 'Amanda Foreman', 'Cameron Daddo', 'Neil Dickson', 'Diane Ladd', 'Stanislaw Kazimierz Cybulski', 'Henryka Cybulski', 'Julia Ormond', 'Jordan Ladd', 'Terryn Westbrook', 'Kristen Kerr', 'Mary Steenburgen', 'Masuimi Max', 'Robert Charles Hunter', 'Terry Crews', 'Nastassja Kinski', 'Laura Harring', 'Scott Coffey', 'Naomi Watts', 'Emily Stofle', 'Jerry Stahl', 'John T. Churchill', 'Chamonix Bosch', 'Bellina Logan', 'Sara Glaser', 'Edward St. George', 'Jeremy Alter', 'Marsha Lewis', 'Austin Jack Lynch', 'Jason Weinberg', 'Heidi Bivens', 'Scott Andrew Ressler', 'Kat Turner', 'Stanley Kamel', 'Marek Zydowicz', 'Leon Niemczyk', 'Tracy Ashton', 'Dominique Vandenberg', 'Nick 13', 'Keith Kjarval', 'Kris Kane', 'David Lynch', 'Wendy Rhodes']"
Speed Racer,2008,Lana Wachowski,135,"['Emile Hirsch', 'Christina Ricci', 'John Goodman', 'Susan Sarandon', 'Matthew Fox', 'Benno Fürmann', 'Hiroyuki Sanada', 'Rain', 'Richard Roundtree', 'Karl Yune', 'Ariel Winter', 'Roger Allam', 'Paulie Litt', 'Kick Gurry', 'John Benfield', 'Christian Oliver', 'Ralph Herforth', 'Scott Porter', 'Yu Nan', 'Nayo Wallace', 'Melvil Poupaud', 'Ramon Tikaram', 'Ben Miles', 'Peter Fernandez', 'Cosma Shiva Hagen', 'Moritz Bleibtreu', 'Joon Park', 'Nicholas Elia', 'Melissa Holroyd', 'Gian Ganziano', 'Harvey Friedman', 'Sadao Ueda', 'Valery Tscheplanowa', 'Sami Loris', 'Olivier Marlo', 'Sean McDonagh', 'Vinzenz Kiefer', 'Mark Zak', 'Willy', 'Kenzie', 'Julia Joyce', 'Clayton Nemrow', 'Ricky Watson', 'Brandon Robinson', 'L. Trey Wilson', 'Lauren Blake', 'Waldemar Kobus', 'Max Hopp', 'Julie T. Wallace', 'Matthias Redlhammer', 'Eckehard Hoffmann', 'Art LaFleur', 'Peter Navy Tuiasosopo', 'Paul Sirr', 'Kadý Taylor', 'Junior Sone Enang', 'Jana Pallaske', 'Dari Maximova', 'Werner Daehn', 'Komi Togbonou', 'Leila Rozario', 'Steven Wilson', 'Togo Igawa', 'Jonathan Kinsler', 'Anatole Taubman', 'Frank Witter', 'Megan Gay', 'Corinne Orr', 'Joe Mazza', 'Ludmilla Ismailow', 'Milka Duno', 'Amira Osman', 'Ashley Walters', 'Jens Neuhaus', 'Sesede Terziyan', 'Ill-Young Kim', 'Yuriri Naka', 'Oscar Ortega Sánchez', 'Fang Yu', 'Narges Rashidi', 'Andrés Cantor']"
Popstar: Never Stop Never Stopping,2016,Jorma Taccone,86,"['Andy Samberg', 'Jorma Taccone', 'Akiva Schaffer', 'Tim Meadows', 'Sarah Silverman', 'Chris Redd', 'Maya Rudolph', 'Joan Cusack', 'Imogen Poots', 'Edgar Blackmon', 'James Buckley', 'Evan Fine', 'Maxwell Jenkins', 'Elliott Smith', 'Questlove', 'Carrie Underwood', 'Nas', 'Usher', '50 Cent', 'Ringo Starr', 'Simon Cowell', 'Adam Levine', 'Akon', 'Mariah Carey', 'Ashley Moore', 'Danny Strong', 'Pink', 'Big Boy', 'DJ Khaled', 'A$AP Rocky', 'Kevin Nealon', 'Mario López', 'Will Arnett', 'Eric André', 'Chelsea Peretti', 'Mike Birbiglia', 'Patricia Schaffer', 'James Hegarty', 'Walker William Borba', 'Emma Stone', 'Justin Timberlake', 'Bill Hader', 'Joanna Newsom', 'Jonah Goldstein', 'Andre Hyland', 'Mike E. Winfield', 'Danger Mouse', 'RZA', 'Chester Tam', 'T.I.', 'Pharrell Williams', 'Seal', 'Paul Scheer', 'Christine Krumme', 'Adrien Finkel', 'Ben Newell', 'Joy Lanceta', 'Keith Love', 'Alison Sluiter', 'Isis Brown', 'Walter Jones', 'Jimmy Fallon', 'Win Butler', 'Régine Chassagne', 'Steve Higgins', 'Derek Maers', 'Alison Rich', 'Martin Sheen', 'Will Forte', 'Marielle Heller', 'Snoop Dogg', 'Ithamar Enriquez', 'Liz Cackowski', ""'Weird Al' Yankovic"", 'Michael Bolton', 'Kirk Douglas', ""James 'Kamal' Gray"", 'Damon Bryson', 'David Guy Levy', 'Mark Kelley', 'James Poyser', 'Ian Hendrickson-Smith', 'Tariq Trotter', 'Frankie Knuckles', 'Manwé Sauls-Addison', 'Leah Adler', 'Carly Anderson', 'Carlena Britch', 'Dan Castiglione', 'Amanda Cleghorn', 'Krystal Ellsworth', 'Brandon Henschel', 'Calvit Hodge', 'Caitlynn Lawson', 'Alicia Mazepa', 'Allie Meixner', 'Kyle Robinson', 'Stephanie Scull', 'Ashley Seldon', 'Nikeva Stapleton', 'Chelsea Traille', 'Nathaniel Trasoras', 'C. J. Tyson', 'Robert Roldan', 'Cameron Brinkman', 'Jasmine Hester', 'Sandra Rosko', 'Lili Sepe', 'Brandon Van Vliet', 'Madeleine Wade', 'Dave Franco', 'Miley Cyrus', 'Ed Sheeran', 'Justin Bieber', 'Katy Perry', 'Halle Arbaugh']"
On the Waterfront,1954,Elia Kazan,108,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Eva Marie Saint', 'Rod Steiger', 'Pat Henning', 'Leif Erickson', 'James Westerfield', 'Tony Galento', 'Tami Mauriello', 'John F. Hamilton', 'John Heldabrand', 'Rudy Bond', 'Don Blackman', 'Arthur Keegan', 'Abe Simon', 'Martin Balsam', 'Michael V. Gazzo', 'Fred Gwynne', 'Pat Hingle', 'Scottie MacGregor', 'Nehemiah Persoff']"
Network,1976,Sidney Lumet,122,"['Peter Finch', 'Faye Dunaway', 'William Holden', 'Robert Duvall', 'Beatrice Straight', 'Wesley Addy', 'Ned Beatty', 'Arthur Burghardt', 'Bill Burrows', 'John Carpenter', 'Jordan Charney', 'Kathy Cronkite', 'Ed Crowley', 'Jerome Dempsey', 'Conchata Ferrell', 'Gene Gross', 'Stanley Grover', 'Cindy Grover', 'Darryl Hickman', 'Mitchell Jason', 'Paul Jenkins', 'Ken Kercheval', 'Kenneth Kimmins', 'Lynn Klugman', 'Carolyn Krigbaum', 'Zane Lasky', 'Michael Lipton', 'Michael Lombard', 'Pirie MacDonald', 'Russ Petranto', 'Bernard Pollock', 'Roy Poole', 'William Prince', 'Sasha von Scherler', 'Lane Smith', 'Ted Sorel', 'Fred Stuthman', 'Cameron Thomas', 'Marlene Warfield', 'Lydia Wilen', 'Lee Richardson', 'Lance Henriksen']"
All That Jazz,1979,Bob Fosse,123,"['Roy Scheider', 'Jessica Lange', 'Ann Reinking', 'Leland Palmer', 'Erzsebet Foldi', 'Deborah Geffner', 'Anthony Holland', 'Ben Vereen', 'Max Wright', 'David Margulies', 'William LeMassena', 'John Lithgow', 'Cliff Gorman', 'Michael Tolan', 'Irene Kane', 'Kathryn Doby', 'Robert Hitt', 'Sue Paul', 'Keith Gordon', 'Frankie Man', 'Alan Heim', 'Sandahl Bergman', 'Eileen Casey', 'Bruce Anthony Davis', 'Gary Flannery', 'Jennifer Nairn-Smith', 'Danny Ruvolo', 'Leland Schwantes', 'John Sowinski', 'Candace Tovar', 'Rima Vetter', 'Trudy Carson', 'Mary Sue Finnerty', 'Lesley Kingley', 'P.J. Mann', 'Cathy Rice', 'Sonja Stuart', 'Terri Treas', 'Ralph E. Berntsen', 'Jan Flato', 'John Paul Fetta', 'Andy Schwartz', 'Robert Levine', 'Phil Friedman', 'Stephen Strimpell', 'Leonard Drum', 'Eugene Troobnick', 'Jules Fisher', 'Ben Masters', 'Cathie Shirriff', 'Joanna Merlin', 'Leah Ayres', 'Nancy Beth Bird', 'Harry Agress', 'CCH Pounder', 'Tito Goya', 'Tiger Haynes', 'Lotte Palfi Andor', 'K.C. Townsend', 'Melanie Hunter', 'Rita Bennett', 'Gary Bayer', 'Wayne Carson', 'Kerry Casserly', 'Judi Passeltiner', 'Steve Elmore', 'Nicole Fosse', 'Vicki Frederick', 'Minnie Gaster', 'Michael Green', 'Bruce MacCallum', 'Joyce Ellen Hill', 'I.M. Hobson', 'Edith Kramer', 'Barbara McKinley', 'Mary McCarty', 'Theresa Merritt', 'Gavin Moses', 'Mary Mon Toy', 'Wallace Shawn', 'Jacqueline Solotar', 'Sloane Shelton', 'Sammy Smith', 'Arnold Gross']"
Lost Highway,1997,David Lynch,134,"['Bill Pullman', 'Patricia Arquette', 'Balthazar Getty', 'Robert Blake', 'Natasha Gregson Wagner', 'Richard Pryor', 'Lucy Butler', 'Michael Massee', 'Jack Nance', 'Jack Kehler', 'Henry Rollins', 'Giovanni Ribisi', 'Scott Coffey', 'Gary Busey', 'Robert Loggia', 'John Roselius', 'Louis Eppolito', 'Jenna Maetlind', 'Michael Shamus Wiles', 'Mink Stole', 'Leonard Termo', 'Ivory Ocean', 'David Byrd', 'Gene Ross', 'F. William Parker', 'Guy Siner', 'Alexander Folk', 'Carl Sundstrom', 'John Solari', 'Jack', 'Al Garrett', 'Heather Stephens', 'Amanda Anka', 'Jennifer Syme', 'Matt Sigloch', 'Gilbert B. Combs', 'Greg Travis', 'Lisa Boyle', 'Leslie Bega', 'Marilyn Manson', 'Jeordie White', 'David Lynch', 'Metin Bereketli', 'Dru Berrymore', 'Bill McAdams Jr.', 'Lou Slaughter']"
Hot Rod,2007,Akiva Schaffer,88,"['Andy Samberg', 'Jorma Taccone', 'Bill Hader', 'Danny McBride', 'Isla Fisher', 'Sissy Spacek', 'Ian McShane', 'Will Arnett', 'Chris Parnell', 'Chester Tam', 'Mark Acheson', 'Brittany Tiplady', 'Ken Kirzinger', 'Brittney Irvin', 'Alana Husband', 'Andrew Moxham', ""Terri O'Neill"", 'Alvin Sanders', 'Chris Eastman', 'Paulo Ribeiro', 'Paul Herbert', 'Carly McKillip', 'Donavon Stinson', 'John Destry', 'Doug Abrahams', 'Frank C. Turner', 'Henry Michaels', 'Gillian Barber', 'Sammy Fattedad', 'William S. Taylor', 'Mi-Jung Lee', 'Carrie Ruscheinsky', 'Charlie Hope', 'Matthew Gallagher', 'Victoria Kampbell', 'Titan Toyish', 'Joshua Homme', 'Joseph Castillo', 'Alain Moschulski', 'Troy Van Leeuwen', 'Jesse Haddock', 'Ometa Gittens', 'Aaron Au', 'Brett Chan', 'John Burnside', 'Stephen Altman', 'Ryan Hess', 'Jennifer LaPlaca', 'Meghan K. Lees', 'Tom MacNeill', 'Elizabeth McCarthy', 'Marjorie Roden', 'Akiva Schaffer', 'Patricia Schaffer']"
Young Frankenstein,1974,Mel Brooks,106,"['Gene Wilder', 'Teri Garr', 'Marty Feldman', 'Peter Boyle', 'Cloris Leachman', 'Madeline Kahn', 'Kenneth Mars', 'Richard Haydn', 'Liam Dunn', 'Danny Goldman', 'Oscar Beregi Jr.', 'Arthur Malet', 'Richard A. Roth', 'Monte Landis', 'Rusty Blitz', 'Anne Beesley', 'Gene Hackman', 'John Madison', 'John Dennis', 'Rick Norman', 'Rolfe Sedan', 'Terrence Pushman', 'Randolph Dobbs', 'Norbert Schiller', ""Pat O'Hara"", 'Michael Fox', 'Lidia Kristen', 'Berry Kroeger', 'Ian Abercrombie', 'Mel Brooks', 'Lou Cutell', 'Leoda Richards', 'Clement von Franckenstein', 'Jeff Maxwell', 'Lars Hensen', 'Johnny Marlin', 'Maida Severn', 'Arthur Tovey']"
