Name,Year,Rating,Date
The Social Dilemma,2020,1,1/13/2021
Seven Samurai,1954,4.5,1/16/2021
The Straight Story,1999,5,1/17/2021
Serial Mom,1994,5,1/17/2021
Election,1999,4,1/18/2021
Crip Camp: A Disability Revolution,2020,4.5,1/19/2021
Breathless,1960,2.5,1/22/2021
Killer's Kiss,1955,3,1/23/2021
Wolfwalkers,2020,4,1/26/2021
Godzilla,2014,4,1/27/2021
The Blob,1958,3,1/29/2021
Office Space,1999,2,1/31/2021
Ma Rainey's Black Bottom,2020,3,2/4/2021
Akira,1988,4,2/5/2021
House,1977,5,2/7/2021
Women on the Verge of a Nervous Breakdown,1988,4,2/12/2021
Godzilla,1954,4,2/12/2021
Shattered Glass,2003,3.5,2/14/2021
Pariah,2011,4.5,2/18/2021
Mishima: A Life in Four Chapters,1985,5,2/19/2021
Godzilla Raids Again,1955,2,2/23/2021
Fantastic Planet,1973,3.5,2/23/2021
Paddington 2,2017,5,2/23/2021
Kennywood Memories,1988,4,2/24/2021
The Birdcage,1996,4,2/25/2021
Once Upon a Time… in Hollywood,2019,3.5,2/25/2021
Judas and the Black Messiah,2021,4.5,2/25/2021
King Kong vs. Godzilla,1963,2.5,2/26/2021
Desert Hearts,1985,3.5,2/26/2021
Professor Marston and the Wonder Women,2017,4,2/27/2021
Blue Collar,1978,4,2/27/2021
Bamboozled,2000,3.5,2/28/2021
Vampire's Kiss,1988,5,2/28/2021
Matewan,1987,5,3/4/2021
Girlfriends,1978,4,3/4/2021
Blue Velvet,1986,3,3/5/2021
The Passion of Joan of Arc,1928,3,3/5/2021
The Last Temptation of Christ,1988,4.5,3/6/2021
Tom & Jerry,2021,0.5,3/7/2021
Nomadland,2020,2.5,3/7/2021
A Hot Dog Program,1999,4,3/10/2021
But I'm a Cheerleader,1999,4,3/11/2021
The Phantom Carriage,1921,,3/12/2021
Sandwiches That You Will Like,2002,4,3/13/2021
A Program About Unusual Buildings & Other Roadside Stuff,2004,3,3/13/2021
An Ice Cream Show,1996,4,3/13/2021
Coded Bias,2020,4,3/14/2021
Grey Gardens,1975,4.5,3/14/2021
Original Cast Album: Company,1970,5,3/17/2021
Blow the Man Down,2019,3.5,3/18/2021
WandaVision,2021,3,3/19/2021
The Man Who Knew Too Much,1934,3,3/19/2021
The Blues Brothers,1980,5,3/21/2021
Stop Making Sense,1984,5,3/22/2021
Citizen Kane,1941,4,3/24/2021
The Secret of Kells,2009,2.5,3/25/2021
The Uninvited,1944,3.5,3/26/2021
Promising Young Woman,2020,2,3/26/2021
Kes,1969,4.5,3/27/2021
Nine to Five,1980,3,3/28/2021
Barbarella,1968,4.5,3/29/2021
Hustlers,2019,4.5,3/31/2021
Kong: Skull Island,2017,3.5,3/31/2021
Time Bandits,1981,4,4/1/2021
Best in Show,2000,3.5,4/1/2021
